Provider,Anomaly_Score,Anomaly_Flag,PotentialFraud,Fraud_Label
PRV53917,0.5000847598398285,1,No,0
PRV55404,0.4998965058059809,0,No,0
PRV52402,0.4998730775781794,0,No,0
PRV56401,0.4998278426558759,0,No,0
PRV56853,0.4997775584129798,0,No,0
PRV54293,0.4997122846185187,0,No,0
PRV51607,0.4995659666068228,0,No,0
PRV54142,0.4995393033790259,0,No,0
PRV54380,0.499436394511644,0,No,0
PRV54530,0.4993974597974698,0,No,0
PRV56349,0.4993901660960244,0,No,0
PRV55064,0.4993734543745495,0,No,0
PRV52098,0.4993639690609473,0,No,0
PRV51635,0.499217607319892,0,No,0
PRV54153,0.499119903749512,0,No,0
PRV56760,0.4990849289776126,0,No,0
PRV53689,0.4989531172937712,0,No,0
PRV53201,0.4988035835276535,0,No,0
PRV55481,0.4987868237704839,0,No,0
PRV53416,0.4986853542503089,0,No,0
PRV57702,0.4986689905113842,0,No,0
PRV57381,0.4986407994661029,0,No,0
PRV53956,0.498627549186709,0,No,0
PRV53207,0.498609910551953,0,No,0
PRV53297,0.4985600952244358,0,Yes,1
PRV54093,0.4984830151538079,0,Yes,1
PRV56179,0.4982938644612068,0,No,0
PRV52826,0.4982850354774188,0,Yes,1
PRV56762,0.4982756629942512,0,No,0
PRV51476,0.4982394292093733,0,No,0
PRV57110,0.4981991390003425,0,No,0
PRV55399,0.4981976340154331,0,No,0
PRV52351,0.4981827743246821,0,No,0
PRV51544,0.4981779469366564,0,No,0
PRV57594,0.4981317140813637,0,No,0
PRV53043,0.4981257753902812,0,No,0
PRV54507,0.4980285210368996,0,No,0
PRV52504,0.4980249993294011,0,Yes,1
PRV52076,0.4979412466758127,0,No,0
PRV57151,0.4978928434341255,0,No,0
PRV56759,0.4978387958965694,0,No,0
PRV51634,0.4977220483162474,0,No,0
PRV55891,0.4977094352624914,0,No,0
PRV55496,0.4976758584729184,0,Yes,1
PRV53312,0.4976269073092788,0,No,0
PRV52898,0.497555951983169,0,No,0
PRV52663,0.4974838608359894,0,No,0
PRV52623,0.4974312496924026,0,No,0
PRV51526,0.4974064248268337,0,No,0
PRV51093,0.4973846725107276,0,No,0
PRV57121,0.4973156296304551,0,No,0
PRV53131,0.4973145737443082,0,No,0
PRV52912,0.4973131606020006,0,No,0
PRV54906,0.4972894234368111,0,No,0
PRV52881,0.4972679529392013,0,No,0
PRV51960,0.4972403087363974,0,No,0
PRV55854,0.4971768299999284,0,No,0
PRV56663,0.4971235338433963,0,No,0
PRV57245,0.4970951146283077,0,No,0
PRV57445,0.4970286086563519,0,No,0
PRV57375,0.4969055915299117,0,No,0
PRV51249,0.4968787825029219,0,Yes,1
PRV54561,0.4968327584874726,0,No,0
PRV51617,0.4968215922152883,0,No,0
PRV53915,0.4968182182556755,0,No,0
PRV52229,0.4967691453122712,0,No,0
PRV53612,0.496742486528627,0,No,0
PRV57169,0.4967378319688736,0,No,0
PRV53673,0.4966788020019229,0,No,0
PRV55612,0.4966162524272873,0,No,0
PRV56713,0.4965031618598823,0,No,0
PRV52981,0.4964392051447343,0,No,0
PRV54355,0.4964288845848634,0,No,0
PRV53920,0.4963038726527488,0,No,0
PRV57510,0.4962476613246079,0,No,0
PRV52057,0.4962224312561363,0,No,0
PRV52073,0.4962149738486287,0,No,0
PRV56889,0.4961575643439386,0,No,0
PRV53618,0.4961397570876361,0,No,0
PRV54935,0.496025346218519,0,No,0
PRV55775,0.4960229662562354,0,No,0
PRV57104,0.4958224679715345,0,Yes,1
PRV54429,0.4957870992416309,0,No,0
PRV57224,0.4957422664146587,0,No,0
PRV53554,0.4955974425904584,0,No,0
PRV55801,0.4955974425904584,0,No,0
PRV56303,0.4955974425904584,0,No,0
PRV54011,0.4955974425904584,0,No,0
PRV57392,0.4955974425904584,0,No,0
PRV57707,0.4955974425904584,0,No,0
PRV51733,0.4955974425904584,0,No,0
PRV55581,0.4955974425904584,0,No,0
PRV53308,0.4955862090141437,0,No,0
PRV51204,0.4955591848169458,0,No,0
PRV56221,0.4955274207241409,0,No,0
PRV56216,0.4955012816475143,0,No,0
PRV53674,0.4954444110479837,0,No,0
PRV57346,0.4954323295724724,0,No,0
PRV54391,0.4954198750987921,0,Yes,1
PRV52558,0.4954127724326682,0,No,0
PRV54168,0.4953342453876582,0,No,0
PRV53682,0.4951987563397048,0,No,0
PRV52518,0.495092762608253,0,No,0
PRV54080,0.4949539971013202,0,No,0
PRV51951,0.4948983919728289,0,Yes,1
PRV52610,0.4948950816895521,0,No,0
PRV52031,0.494881355401449,0,No,0
PRV52684,0.4948567932774387,0,No,0
PRV56170,0.4948558360140928,0,No,0
PRV55864,0.49485185964135,0,No,0
PRV54411,0.4948350261955904,0,No,0
PRV52828,0.4948231685118839,0,Yes,1
PRV52142,0.494761779587117,0,No,0
PRV57152,0.494695598794021,0,No,0
PRV54728,0.4946798127861129,0,No,0
PRV52621,0.4946719405105797,0,No,0
PRV57709,0.4945664321271138,0,Yes,1
PRV54930,0.4945568199851531,0,No,0
PRV57101,0.4945038534996459,0,No,0
PRV54970,0.4944986491792745,0,No,0
PRV51021,0.4943340987531822,0,Yes,1
PRV57058,0.4942993119761873,0,No,0
PRV52157,0.4941079338480986,0,No,0
PRV53182,0.4940841025598824,0,No,0
PRV56313,0.4940841025598824,0,No,0
PRV57696,0.4940841025598824,0,No,0
PRV54311,0.4940841025598824,0,No,0
PRV54231,0.4940708271998192,0,No,0
PRV51017,0.4940440504820151,0,No,0
PRV55835,0.4940140326489398,0,Yes,1
PRV54681,0.4940099624613247,0,No,0
PRV53874,0.493973813289775,0,No,0
PRV57102,0.4939578729725098,0,No,0
PRV51247,0.493954708761287,0,No,0
PRV51484,0.4938661210604363,0,No,0
PRV52662,0.4937599751501664,0,No,0
PRV55846,0.4937237634835673,0,No,0
PRV52087,0.4937123176019611,0,No,0
PRV55536,0.4936378116488231,0,No,0
PRV54045,0.4936222341440009,0,No,0
PRV51011,0.4936145119115359,0,No,0
PRV53029,0.4936007083482521,0,No,0
PRV51353,0.49359187195749,0,No,0
PRV51391,0.4934843441180714,0,No,0
PRV53198,0.4934620799277721,0,No,0
PRV56421,0.4934548340060044,0,Yes,1
PRV57319,0.4933241095317587,0,No,0
PRV56269,0.4933216948868527,0,No,0
PRV52392,0.4932840413685297,0,No,0
PRV56602,0.4931657119563248,0,No,0
PRV55942,0.493130039437649,0,No,0
PRV54092,0.4931238022425427,0,No,0
PRV54932,0.4930250864113665,0,No,0
PRV53289,0.4928854706777048,0,No,0
PRV56271,0.4928207204196254,0,No,0
PRV54259,0.4927425509989714,0,No,0
PRV52182,0.4927042931857451,0,No,0
PRV53463,0.4926403239660709,0,No,0
PRV54683,0.4926140065801705,0,No,0
PRV51905,0.4926048224934233,0,No,0
PRV52314,0.4925775534806126,0,No,0
PRV56423,0.4923945951366351,0,No,0
PRV51350,0.4923845732343694,0,No,0
PRV51346,0.4923451772564909,0,No,0
PRV52723,0.4923313051441129,0,No,0
PRV54529,0.492324779057457,0,No,0
PRV57330,0.4922741464878467,0,No,0
PRV53564,0.4922545657256218,0,No,0
PRV51613,0.49221706676682,0,No,0
PRV56227,0.4921649074220634,0,No,0
PRV51352,0.4921133684289877,0,No,0
PRV51065,0.4921048807103396,0,No,0
PRV51377,0.4920226415429893,0,No,0
PRV51446,0.4920052363176641,0,No,0
PRV55720,0.4919832098430112,0,No,0
PRV53279,0.4919658947721867,0,No,0
PRV55234,0.4918737092158294,0,No,0
PRV52938,0.4918542784655055,0,No,0
PRV56031,0.4918133856142195,0,No,0
PRV54623,0.4917162546308968,0,No,0
PRV57238,0.4916834467097337,0,No,0
PRV55305,0.4916766267636826,0,No,0
PRV57438,0.4916443102375832,0,No,0
PRV55700,0.4915876472615434,0,No,0
PRV55826,0.491564792883059,0,No,0
PRV53320,0.491538925215462,0,No,0
PRV57185,0.4914902538805394,0,Yes,1
PRV52572,0.4914549023212769,0,No,0
PRV57166,0.4913864250465104,0,Yes,1
PRV56818,0.4913803923344179,0,No,0
PRV57316,0.4913101590613133,0,No,0
PRV51077,0.4913063440936662,0,Yes,1
PRV57129,0.4912914664987624,0,No,0
PRV53024,0.4912695576034074,0,No,0
PRV56060,0.4912456857013474,0,No,0
PRV52757,0.4912456857013474,0,No,0
PRV54449,0.4912456857013474,0,No,0
PRV51423,0.4912456857013474,0,No,0
PRV52256,0.4912456857013474,0,No,0
PRV53079,0.4912456857013474,0,No,0
PRV56084,0.4912456857013474,0,No,0
PRV52763,0.4912456857013474,0,No,0
PRV55800,0.4912456857013474,0,No,0
PRV51875,0.4912456857013474,0,No,0
PRV52736,0.4912456857013474,0,No,0
PRV55427,0.4912456857013474,0,No,0
PRV54275,0.4912456857013474,0,No,0
PRV51534,0.4912456857013474,0,No,0
PRV52746,0.4912456857013474,0,No,0
PRV55615,0.4912456857013474,0,No,0
PRV54304,0.4912456857013474,0,No,0
PRV51666,0.4912456857013474,0,No,0
PRV51918,0.4912456857013474,0,No,0
PRV57043,0.4912456857013474,0,No,0
PRV54215,0.4912355480050895,0,No,0
PRV56231,0.4912226439361847,0,Yes,1
PRV53672,0.491106446762409,0,No,0
PRV54083,0.4910290349901162,0,No,0
PRV52920,0.4908405794017986,0,No,0
PRV52860,0.4908239672224607,0,Yes,1
PRV56658,0.4907672317135523,0,No,0
PRV52467,0.4906868331809222,0,Yes,1
PRV56743,0.4906524563667154,0,No,0
PRV57274,0.4905802668733033,0,No,0
PRV52758,0.4905802668733033,0,No,0
PRV52880,0.4904899220109985,0,No,0
PRV55990,0.4904693079347913,0,No,0
PRV51600,0.4904643079723883,0,No,0
PRV52171,0.490327189085426,0,No,0
PRV55365,0.4902923981868293,0,No,0
PRV57443,0.4902147110014188,0,No,0
PRV56104,0.4901947982804596,0,Yes,1
PRV52660,0.4901941256169171,0,No,0
PRV55588,0.490148819174634,0,No,0
PRV52308,0.4900271458246807,0,Yes,1
PRV54542,0.4900265750314764,0,No,0
PRV55908,0.4899853681404246,0,No,0
PRV54933,0.4898562755755288,0,Yes,1
PRV54090,0.4898303907287497,0,No,0
PRV51403,0.4896916871396887,0,No,0
PRV56707,0.4896436258973107,0,No,0
PRV56682,0.4895783592888068,0,No,0
PRV52902,0.4895329270855825,0,No,0
PRV55515,0.4894760508521133,0,No,0
PRV57130,0.489463998421677,0,No,0
PRV54135,0.489463998421677,0,No,0
PRV54049,0.4894474362700226,0,No,0
PRV53157,0.4893172743182152,0,No,0
PRV54436,0.4893172743182152,0,No,0
PRV51479,0.4893076297378546,0,No,0
PRV57184,0.4893018799119749,0,No,0
PRV57192,0.4892560843589735,0,No,0
PRV55176,0.4892201110551376,0,No,0
PRV53396,0.4891022926034147,0,No,0
PRV55737,0.4890905680739212,0,No,0
PRV55764,0.4890709958438459,0,No,0
PRV53764,0.4890349871972529,0,No,0
PRV54544,0.4890156666935584,0,No,0
PRV54368,0.4889406160854878,0,No,0
PRV52688,0.4889278382821118,0,No,0
PRV55175,0.4889168816690238,0,No,0
PRV55198,0.488789527258017,0,No,0
PRV53868,0.4887481830261752,0,No,0
PRV56220,0.4887379951314564,0,No,0
PRV55455,0.4886392283404975,0,No,0
PRV56758,0.4886383572337953,0,No,0
PRV57248,0.4886195450150993,0,No,0
PRV56826,0.488587665816948,0,No,0
PRV53013,0.4885761472001637,0,No,0
PRV53007,0.4885571693870505,0,Yes,1
PRV56140,0.4885435531215216,0,No,0
PRV54144,0.4885304120975172,0,Yes,1
PRV57194,0.4885247391716186,0,No,0
PRV56693,0.488375357653086,0,No,0
PRV55820,0.4883472885042164,0,No,0
PRV52151,0.4883197183944336,0,Yes,1
PRV54255,0.488309579787117,0,No,0
PRV52124,0.4882945147513111,0,Yes,1
PRV53300,0.4882909308548891,0,No,0
PRV53017,0.488273115868111,0,No,0
PRV52369,0.4882712998535402,0,No,0
PRV57549,0.4881620395731554,0,No,0
PRV51984,0.4881160955001353,0,No,0
PRV57313,0.4880622325543645,0,No,0
PRV51137,0.4879509113250142,0,No,0
PRV54925,0.4879076103677552,0,Yes,1
PRV52556,0.487852173702925,0,No,0
PRV52833,0.4878367580627476,0,No,0
PRV52788,0.4877852758023871,0,No,0
PRV57719,0.4877847342111003,0,No,0
PRV56384,0.4877277203981331,0,No,0
PRV57197,0.4877169933939687,0,No,0
PRV51358,0.4876888182347225,0,No,0
PRV52893,0.4876424738819219,0,No,0
PRV54340,0.48763540682445,0,No,0
PRV53483,0.4874238660674319,0,No,0
PRV54064,0.4874153107357822,0,No,0
PRV55828,0.4873632526693615,0,No,0
PRV55229,0.4873567290644606,0,No,0
PRV51958,0.4873224159879197,0,No,0
PRV55548,0.4872956007252598,0,No,0
PRV51151,0.4872303838613396,0,No,0
PRV53389,0.4872282544816719,0,No,0
PRV51508,0.4871543312779882,0,No,0
PRV55165,0.4871393093631695,0,Yes,1
PRV56735,0.487076625933144,0,No,0
PRV55412,0.4869650643561675,0,No,0
PRV55852,0.4869041846193055,0,Yes,1
PRV51123,0.4868769008656857,0,No,0
PRV51704,0.4867562118631978,0,No,0
PRV53228,0.4867562118631978,0,No,0
PRV52952,0.4867562118631978,0,No,0
PRV54114,0.4867350721821098,0,No,0
PRV56734,0.4867294022561331,0,No,0
PRV55948,0.4867156445586538,0,No,0
PRV54557,0.4867080528653444,0,Yes,1
PRV52024,0.4866665223896359,0,No,0
PRV51690,0.4866201437118279,0,No,0
PRV55388,0.4865805636792689,0,No,0
PRV51916,0.4865766002150081,0,No,0
PRV53436,0.4865611145838918,0,No,0
PRV53166,0.4865237830245593,0,No,0
PRV54560,0.4865166771571576,0,Yes,1
PRV52097,0.4864879754648712,0,No,0
PRV51031,0.4864546688234077,0,No,0
PRV51549,0.4864290379435598,0,No,0
PRV55213,0.4864200246609157,0,No,0
PRV52645,0.486403285385231,0,No,0
PRV51342,0.4863946666249149,0,No,0
PRV55438,0.486377410240747,0,No,0
PRV53521,0.4863588334284882,0,No,0
PRV54155,0.4863125727926448,0,No,0
PRV55437,0.4862863259440117,0,Yes,1
PRV51086,0.486274610208388,0,No,0
PRV55842,0.4862400509058773,0,Yes,1
PRV53009,0.486190427518721,0,No,0
PRV52147,0.4861712583223031,0,Yes,1
PRV51796,0.4861554834800589,0,No,0
PRV54882,0.4861409022310362,0,Yes,1
PRV56730,0.4861193675038316,0,Yes,1
PRV53431,0.4861032991846223,0,No,0
PRV55433,0.4860455026200805,0,Yes,1
PRV55414,0.4860272899199024,0,No,0
PRV54517,0.4860143927023275,0,No,0
PRV51906,0.4859772806886489,0,No,0
PRV52156,0.4859559740118176,0,No,0
PRV55872,0.4859441446511928,0,No,0
PRV53211,0.4858225702639675,0,No,0
PRV51337,0.4858084474003015,0,Yes,1
PRV52359,0.4857157829292334,0,No,0
PRV55390,0.4857069141799833,0,No,0
PRV54630,0.4857001280402598,0,No,0
PRV55029,0.4856510195666307,0,No,0
PRV53757,0.4856365475944401,0,No,0
PRV54867,0.4855997019941534,0,No,0
PRV51879,0.485553621203956,0,No,0
PRV54888,0.4855449940469977,0,No,0
PRV51271,0.4855100076259922,0,No,0
PRV56135,0.4854715469978578,0,No,0
PRV54910,0.4854274895945679,0,No,0
PRV55032,0.4853548624083482,0,No,0
PRV56083,0.4853449212887331,0,No,0
PRV53168,0.4853086700830618,0,No,0
PRV56879,0.4852674782799189,0,No,0
PRV52868,0.4851915645692614,0,Yes,1
PRV55392,0.4850703232037373,0,No,0
PRV55944,0.4850547021740576,0,No,0
PRV55774,0.484992820807459,0,No,0
PRV53203,0.4849240919688629,0,No,0
PRV55648,0.4849060052830951,0,No,0
PRV52741,0.4849060052830951,0,No,0
PRV51703,0.4849060052830951,0,No,0
PRV57724,0.4849060052830951,0,No,0
PRV55767,0.4849060052830951,0,No,0
PRV55744,0.4849060052830951,0,No,0
PRV57464,0.4849060052830951,0,No,0
PRV55538,0.4849060052830951,0,No,0
PRV56601,0.4848732926211623,0,No,0
PRV53787,0.4848687864833055,0,Yes,1
PRV55439,0.4848617388477397,0,No,0
PRV56487,0.4848508288643995,0,No,0
PRV51059,0.4848265001861144,0,Yes,1
PRV54438,0.4847492851970318,0,No,0
PRV53510,0.4846838922819732,0,No,0
PRV53284,0.4846180099185726,0,No,0
PRV52896,0.4846041339099349,0,No,0
PRV57382,0.484429192801117,0,No,0
PRV57700,0.4843939022509068,0,No,0
PRV56377,0.4843939022509068,0,No,0
PRV53545,0.4843939022509068,0,No,0
PRV54113,0.4843939022509068,0,No,0
PRV55632,0.4843939022509068,0,No,0
PRV53999,0.4843939022509068,0,No,0
PRV52785,0.4843939022509068,0,No,0
PRV54294,0.4843939022509068,0,No,0
PRV55752,0.4843450092722749,0,No,0
PRV54504,0.4842492592444712,0,Yes,1
PRV53889,0.4842409209664139,0,No,0
PRV57235,0.4841404356272202,0,No,0
PRV53027,0.4841109481390044,0,No,0
PRV53965,0.484103988126176,0,No,0
PRV54522,0.4840387292997835,0,No,0
PRV56702,0.4840208309952996,0,No,0
PRV52372,0.4839902092567908,0,No,0
PRV55903,0.4839467216606908,0,No,0
PRV53937,0.4838660823688471,0,Yes,1
PRV53472,0.4838640636647378,0,No,0
PRV51695,0.4838580747313353,0,No,0
PRV52924,0.4838453121167291,0,No,0
PRV55984,0.4838203648491611,0,No,0
PRV53295,0.4837980553706603,0,Yes,1
PRV55459,0.4837648701847811,0,No,0
PRV54942,0.4837587624545342,0,Yes,1
PRV52837,0.4837119789672685,0,No,0
PRV55983,0.4836619983273101,0,No,0
PRV57122,0.4835805840090276,0,No,0
PRV56451,0.4835544105083149,0,No,0
PRV52404,0.4835182064078778,0,No,0
PRV54569,0.4834625049533451,0,No,0
PRV54062,0.4834591690973717,0,No,0
PRV54140,0.4834459830627811,0,No,0
PRV54919,0.4834093588335215,0,No,0
PRV52129,0.4833908930631159,0,No,0
PRV52017,0.4833575541526863,0,No,0
PRV56207,0.4833002528495022,0,No,0
PRV51849,0.4832729061650548,0,No,0
PRV54267,0.4831624085896314,0,No,0
PRV56396,0.4831422011053927,0,Yes,1
PRV54931,0.4830607929624289,0,Yes,1
PRV56562,0.4830393476221347,0,No,0
PRV51301,0.4829345811440474,0,No,0
PRV51267,0.4829307400074153,0,No,0
PRV55264,0.4829175555528502,0,No,0
PRV54773,0.4829008924442873,0,No,0
PRV54230,0.4828024025120241,0,Yes,1
PRV57672,0.4827987604803788,0,Yes,1
PRV57495,0.4827939713369225,0,Yes,1
PRV54756,0.4827814058067384,0,No,0
PRV55196,0.4827737261057637,0,No,0
PRV53153,0.4827590518744217,0,No,0
PRV52427,0.4826210893139349,0,No,0
PRV51719,0.4826152824344432,0,No,0
PRV52131,0.4826047513606502,0,No,0
PRV52321,0.4825388783650016,0,Yes,1
PRV55470,0.4825102255554321,0,No,0
PRV54145,0.4824483030259311,0,No,0
PRV51311,0.4823845846074359,0,No,0
PRV51125,0.4823130707278515,0,No,0
PRV52136,0.4822285860046234,0,No,0
PRV53409,0.4822275198503771,0,No,0
PRV52088,0.4822086828737357,0,No,0
PRV55688,0.4821640297823217,0,No,0
PRV51642,0.4820793045513893,0,No,0
PRV54609,0.482059568109229,0,No,0
PRV53807,0.4820293038451975,0,No,0
PRV51038,0.4818888239043204,0,No,0
PRV53872,0.4818502714474189,0,No,0
PRV53104,0.4817837020630324,0,No,0
PRV56002,0.4817791098960799,0,No,0
PRV56767,0.4817698345337304,0,No,0
PRV57614,0.4817480780218847,0,No,0
PRV57115,0.4817459214152143,0,No,0
PRV57179,0.4817161113235235,0,Yes,1
PRV51072,0.4815879445254639,0,No,0
PRV52672,0.4815627022436671,0,No,0
PRV57710,0.4814551511732264,0,No,0
PRV57196,0.481449194784598,0,No,0
PRV52699,0.4813991329657841,0,No,0
PRV52425,0.4813908690258418,0,No,0
PRV53202,0.4813517908564781,0,No,0
PRV52159,0.4813358385802744,0,No,0
PRV52038,0.4812976214728355,0,No,0
PRV54902,0.4811899937578288,0,No,0
PRV57492,0.481185762036746,0,No,0
PRV53634,0.4811487690262742,0,No,0
PRV56568,0.4811387909229191,0,No,0
PRV56139,0.481122350077749,0,No,0
PRV54506,0.4811081861992449,0,No,0
PRV51183,0.4810693460237359,0,No,0
PRV52366,0.4810470105001689,0,No,0
PRV55910,0.4810436180157611,0,No,0
PRV54266,0.4810280350589804,0,No,0
PRV52583,0.4810031506930499,0,No,0
PRV55518,0.4808557485462016,0,No,0
PRV51081,0.4808453343053295,0,No,0
PRV55839,0.4808078906844703,0,No,0
PRV51522,0.480595477869576,0,No,0
PRV56591,0.4805786851676956,0,Yes,1
PRV55999,0.480574550367724,0,No,0
PRV52072,0.4805604060274629,0,No,0
PRV51396,0.480538124649344,0,No,0
PRV52101,0.480398010665314,0,No,0
PRV56210,0.4803846372863846,0,No,0
PRV53129,0.4803631313129674,0,No,0
PRV56610,0.4803200243559586,0,No,0
PRV53441,0.4802846056290776,0,No,0
PRV51425,0.4801516493612133,0,No,0
PRV51943,0.4801120092117213,0,No,0
PRV53265,0.4800632175739285,0,Yes,1
PRV54973,0.4800345425061552,0,No,0
PRV54878,0.4799999874729936,0,No,0
PRV51068,0.4799962343038104,0,No,0
PRV51424,0.4799753198831771,0,No,0
PRV56855,0.4799752956980941,0,No,0
PRV51414,0.4799406641205471,0,No,0
PRV53136,0.47990065932993,0,Yes,1
PRV55516,0.4798784357047636,0,No,0
PRV51840,0.4798320686111738,0,Yes,1
PRV54640,0.4798097510151862,0,No,0
PRV53590,0.4797217519586548,0,No,0
PRV56639,0.4797051728238703,0,No,0
PRV52002,0.4795710698946364,0,Yes,1
PRV53489,0.4795511450870404,0,No,0
PRV51221,0.4795313264101219,0,No,0
PRV54308,0.4795313264101219,0,No,0
PRV51913,0.4795313264101219,0,No,0
PRV56805,0.4795313264101219,0,No,0
PRV57371,0.4795313264101219,0,No,0
PRV56065,0.4795313264101219,0,No,0
PRV54034,0.4795313264101219,0,No,0
PRV52783,0.4795313264101219,0,No,0
PRV51255,0.4795280525085804,0,No,0
PRV51558,0.4794910541266299,0,No,0
PRV53357,0.479404284878511,0,No,0
PRV55266,0.4793996568322036,0,Yes,1
PRV51938,0.4793857659725375,0,No,0
PRV57564,0.4793520404858495,0,No,0
PRV55077,0.4793355657933866,0,No,0
PRV51103,0.4793156718694401,0,Yes,1
PRV55687,0.4792917005211631,0,No,0
PRV57263,0.4792750442742133,0,No,0
PRV55742,0.4792625308504039,0,No,0
PRV57208,0.4792357502951002,0,No,0
PRV56715,0.4792346607274791,0,No,0
PRV55501,0.4791668488581108,0,No,0
PRV51595,0.4791550312473725,0,No,0
PRV55879,0.4790892639927349,0,No,0
PRV55141,0.4790892639927349,0,No,0
PRV54178,0.4790892639927349,0,No,0
PRV52434,0.4790892639927349,0,No,0
PRV55123,0.4790892639927349,0,No,0
PRV54050,0.4789168625353463,0,No,0
PRV53506,0.4789168625353463,0,No,0
PRV54473,0.4788255585755083,0,No,0
PRV53142,0.4788092966756048,0,Yes,1
PRV54554,0.4787514305914923,0,No,0
PRV51482,0.4787478066537637,0,Yes,1
PRV52646,0.4786510814049547,0,No,0
PRV53174,0.4785306457288409,0,No,0
PRV57125,0.4785112572654715,0,No,0
PRV51862,0.4784911818263013,0,No,0
PRV53073,0.4784777894023934,0,No,0
PRV53471,0.4783828551747575,0,No,0
PRV55505,0.4783192159603545,0,No,0
PRV52126,0.4782944461486844,0,No,0
PRV51890,0.4782653468722171,0,No,0
PRV52394,0.478256534104036,0,No,0
PRV54390,0.4782145982415166,0,No,0
PRV55364,0.4782114993014376,0,No,0
PRV54175,0.4782114993014376,0,No,0
PRV57753,0.4782114993014376,0,No,0
PRV57752,0.4782114993014376,0,No,0
PRV56072,0.4782114993014376,0,No,0
PRV52253,0.4782114993014376,0,No,0
PRV53183,0.4782114993014376,0,No,0
PRV56310,0.4782114993014376,0,No,0
PRV56369,0.4782114993014376,0,No,0
PRV56974,0.4782114993014376,0,No,0
PRV56920,0.4782114993014376,0,No,0
PRV57204,0.4781924292177816,0,Yes,1
PRV57218,0.4781684252029405,0,No,0
PRV56439,0.4780808358405156,0,No,0
PRV52519,0.4780714236998095,0,No,0
PRV55192,0.4780598802652101,0,No,0
PRV51873,0.4780255506288849,0,Yes,1
PRV55265,0.4779909510591645,0,No,0
PRV55729,0.4779527022600378,0,No,0
PRV56570,0.4779124786492319,0,No,0
PRV53075,0.4778993133150335,0,No,0
PRV55225,0.4778112938391656,0,Yes,1
PRV51305,0.4777383864644934,0,No,0
PRV56878,0.4777083429276038,0,No,0
PRV51362,0.4777043987164224,0,No,0
PRV51289,0.4777037918183418,0,No,0
PRV55833,0.4776254587958898,0,No,0
PRV52118,0.4776140765098466,0,No,0
PRV52028,0.4775688964280287,0,No,0
PRV52844,0.4775071520722691,0,No,0
PRV53119,0.4774917678641036,0,Yes,1
PRV54219,0.4774868742164985,0,No,0
PRV55892,0.4774396438520584,0,No,0
PRV57372,0.4774216955551711,0,No,0
PRV55177,0.4773766085640277,0,No,0
PRV51622,0.4773689527549234,0,No,0
PRV56852,0.4773643077274748,0,No,0
PRV53678,0.4773573295759399,0,No,0
PRV56524,0.4773573295759399,0,No,0
PRV53899,0.4773573295759399,0,No,0
PRV54466,0.4773573295759399,0,No,0
PRV57452,0.4773573295759399,0,No,0
PRV57203,0.4773518359614825,0,No,0
PRV52548,0.4773065302791045,0,No,0
PRV54327,0.4772189364499566,0,Yes,1
PRV51001,0.4771911932294381,0,No,0
PRV51956,0.4771232249679892,0,No,0
PRV54591,0.4770849443598324,0,No,0
PRV57425,0.4770375956875348,0,Yes,1
PRV54608,0.4769904356998998,0,No,0
PRV56469,0.4768074831638081,0,No,0
PRV52988,0.4767969571699633,0,No,0
PRV56633,0.4767940315018251,0,No,0
PRV52163,0.4767938698638981,0,No,0
PRV55683,0.4767462489767278,0,No,0
PRV56749,0.4767072389163186,0,No,0
PRV54128,0.4767043586624576,0,No,0
PRV56705,0.4766458490795989,0,No,0
PRV56747,0.4766412521768269,0,No,0
PRV54565,0.4765935976029014,0,No,0
PRV54658,0.4765843855439803,0,No,0
PRV53106,0.4765592079400206,0,Yes,1
PRV54624,0.4765233774424229,0,No,0
PRV55734,0.4765124424985119,0,No,0
PRV52099,0.4764967861841629,0,No,0
PRV57427,0.4764948312506076,0,No,0
PRV53923,0.4764772787193478,0,Yes,1
PRV56866,0.4764442574208944,0,No,0
PRV56259,0.4764103956411765,0,Yes,1
PRV52998,0.4763946417946018,0,No,0
PRV55263,0.4762452411822565,0,No,0
PRV54950,0.4762219067744601,0,Yes,1
PRV55931,0.4761246234378767,0,No,0
PRV52014,0.4761140978943666,0,No,0
PRV54073,0.4760713466163435,0,No,0
PRV52526,0.4759919933279847,0,No,0
PRV56387,0.4759919933279847,0,No,0
PRV53369,0.4759919933279847,0,No,0
PRV54006,0.4759919933279847,0,No,0
PRV51968,0.4759919933279847,0,No,0
PRV57473,0.4759919933279847,0,No,0
PRV55355,0.4759919933279847,0,No,0
PRV54148,0.4759919933279847,0,No,0
PRV54523,0.4759919933279847,0,No,0
PRV53305,0.4759838027538962,0,No,0
PRV57193,0.4759681423263297,0,No,0
PRV56782,0.475967881594444,0,No,0
PRV51165,0.4759180627523381,0,No,0
PRV51576,0.4758839075476402,0,No,0
PRV52090,0.4758549641794155,0,No,0
PRV51312,0.4758286933351526,0,No,0
PRV56101,0.4757881570110714,0,No,0
PRV51386,0.4757262564101694,0,No,0
PRV56417,0.4757161744641078,0,No,0
PRV55997,0.4756744979267684,0,No,0
PRV54505,0.4755902434652482,0,Yes,1
PRV51260,0.4754848990462339,0,No,0
PRV52415,0.4754635704335159,0,No,0
PRV56364,0.4753452155182265,0,No,0
PRV57369,0.4753183054804317,0,No,0
PRV51024,0.4752597277441576,0,No,0
PRV53388,0.4752473073761555,0,No,0
