Provider,TotalClaims,AnomalousClaims,AverageRiskScore,MaximumRiskScore,PotentialFraud,AnomalyRate
PRV54945,37,1,3.7,21.44,No,2.7
PRV53527,37,1,3.62,35.24,No,2.7
PRV51242,111,3,3.5,32.92,Yes,2.7
PRV52678,74,2,3.25,17.1,No,2.7
PRV55968,148,4,3.25,45.74,No,2.7
PRV51608,37,1,3.21,15.91,No,2.7
PRV51255,74,2,3.01,16.73,No,2.7
PRV53303,111,3,2.87,21.27,No,2.7
PRV51329,74,2,2.7,22.9,No,2.7
PRV53243,75,2,3.55,30.5,No,2.67
PRV54209,151,4,3.34,35.53,Yes,2.65
PRV53401,303,8,4.08,89.78,Yes,2.64
PRV55483,76,2,5.06,17.12,Yes,2.63
PRV56778,38,1,4.24,26.27,No,2.63
PRV51679,38,1,3.91,27.95,No,2.63
PRV57307,38,1,3.79,21.68,No,2.63
PRV54735,38,1,3.71,34.95,No,2.63
PRV55443,38,1,3.62,17.68,No,2.63
PRV51479,228,6,3.58,39.79,No,2.63
PRV51494,38,1,3.45,38.33,No,2.63
PRV54505,38,1,3.3,21.66,Yes,2.63
PRV56430,38,1,3.29,15.79,No,2.63
PRV55704,38,1,3.23,19.59,No,2.63
PRV57602,38,1,3.23,16.21,No,2.63
PRV53356,38,1,3.01,16.52,No,2.63
PRV57121,38,1,2.84,35.72,No,2.63
PRV56157,38,1,2.78,15.72,No,2.63
PRV51731,38,1,2.68,26.68,No,2.63
PRV55513,38,1,2.66,21.14,No,2.63
PRV53463,76,2,2.49,20.53,No,2.63
PRV54894,229,6,4.43,49.05,Yes,2.62
PRV52556,115,3,3.66,26.6,No,2.61
PRV56486,77,2,4.15,29.01,No,2.6
PRV51143,77,2,3.61,16.8,No,2.6
PRV53905,77,2,3.34,33.66,No,2.6
PRV51483,77,2,3.3,34.46,No,2.6
PRV53872,231,6,2.62,22.35,No,2.6
PRV56103,116,3,3.71,22.23,Yes,2.59
PRV51501,233,6,4.66,56.61,Yes,2.58
PRV53261,194,5,2.89,26.16,No,2.58
PRV54881,39,1,5.27,30.24,No,2.56
PRV56761,117,3,4.4,29.74,No,2.56
PRV51146,352,9,4.0,39.47,Yes,2.56
PRV53144,39,1,3.85,15.74,No,2.56
PRV52658,39,1,3.79,38.9,No,2.56
PRV55509,39,1,3.52,17.07,Yes,2.56
PRV54106,39,1,3.43,18.06,No,2.56
PRV55027,156,4,3.16,36.18,Yes,2.56
PRV52676,39,1,3.07,18.06,No,2.56
PRV55183,117,3,3.04,30.95,No,2.56
PRV51856,117,3,2.79,26.13,No,2.56
PRV52162,39,1,2.76,34.47,No,2.56
PRV55848,39,1,2.29,15.58,No,2.56
PRV53781,393,10,3.41,35.66,Yes,2.54
PRV53969,118,3,3.08,35.2,No,2.54
PRV52990,79,2,3.76,38.06,Yes,2.53
PRV54923,79,2,3.52,45.52,No,2.53
PRV52949,79,2,2.17,16.54,No,2.53
PRV54258,238,6,4.1,28.94,Yes,2.52
PRV52107,119,3,3.28,41.58,No,2.52
PRV51855,120,3,3.61,20.73,No,2.5
PRV52146,40,1,3.56,24.5,No,2.5
PRV52396,40,1,3.4,22.49,Yes,2.5
PRV54462,80,2,3.23,60.58,No,2.5
PRV51983,40,1,3.0,31.51,No,2.5
PRV51516,40,1,2.79,20.74,No,2.5
PRV55235,160,4,2.69,35.45,No,2.5
PRV51771,40,1,2.1,17.14,No,2.5
PRV52846,241,6,4.05,51.39,Yes,2.49
PRV57181,121,3,3.07,36.13,No,2.48
PRV54704,161,4,2.9,29.08,No,2.48
PRV56578,81,2,2.98,16.4,No,2.47
PRV54064,122,3,3.36,34.88,No,2.46
PRV55240,163,4,3.01,35.5,No,2.45
PRV52281,41,1,5.16,22.02,No,2.44
PRV57216,82,2,3.3,20.06,No,2.44
PRV51527,41,1,3.08,15.51,No,2.44
PRV53293,41,1,3.07,21.29,No,2.44
PRV56415,41,1,2.99,24.17,No,2.44
PRV52687,41,1,2.87,15.46,No,2.44
PRV56496,41,1,2.76,19.64,No,2.44
PRV54163,41,1,2.64,19.73,No,2.44
PRV57325,41,1,2.59,18.9,No,2.44
PRV56735,412,10,3.09,35.6,No,2.43
PRV55680,206,5,2.57,35.53,No,2.43
PRV57425,124,3,3.9,17.69,Yes,2.42
PRV56716,124,3,3.03,20.37,No,2.42
PRV52279,83,2,5.3,27.89,No,2.41
PRV52838,83,2,3.17,21.34,No,2.41
PRV54667,166,4,3.07,35.84,No,2.41
PRV52843,251,6,3.12,32.0,Yes,2.39
PRV56023,42,1,5.44,88.75,Yes,2.38
PRV51590,84,2,4.54,26.54,Yes,2.38
PRV54846,42,1,4.11,16.08,No,2.38
PRV51401,42,1,3.88,31.14,Yes,2.38
PRV51249,126,3,3.72,31.81,Yes,2.38
PRV55492,42,1,3.44,15.51,Yes,2.38
PRV57454,42,1,3.29,18.43,No,2.38
PRV55259,42,1,3.12,21.94,No,2.38
PRV55258,42,1,2.92,17.93,No,2.38
PRV57746,42,1,2.86,26.99,No,2.38
PRV51444,42,1,2.84,15.68,No,2.38
PRV56346,42,1,2.8,30.95,No,2.38
PRV54434,42,1,2.63,16.07,No,2.38
PRV55535,42,1,2.53,21.88,No,2.38
PRV57311,338,8,2.72,35.97,No,2.37
PRV57316,85,2,3.51,17.08,No,2.35
PRV54748,85,2,3.2,22.51,No,2.35
PRV53359,213,5,3.08,37.83,No,2.35
PRV54771,85,2,2.97,25.26,Yes,2.35
PRV54911,85,2,2.83,30.91,No,2.35
PRV56481,128,3,4.29,77.72,Yes,2.34
PRV55709,43,1,4.88,52.49,No,2.33
PRV53421,129,3,4.63,26.88,Yes,2.33
PRV53266,257,6,3.78,35.21,Yes,2.33
PRV57136,43,1,3.62,22.46,No,2.33
PRV51475,43,1,3.57,19.06,No,2.33
PRV54623,43,1,3.48,27.36,No,2.33
PRV53173,43,1,3.4,17.5,No,2.33
PRV56773,43,1,3.08,27.94,No,2.33
PRV56671,43,1,2.92,30.1,No,2.33
PRV54358,43,1,2.68,21.81,No,2.33
PRV56746,43,1,2.67,15.71,No,2.33
PRV54224,43,1,2.55,17.84,No,2.33
PRV52574,259,6,3.99,30.98,Yes,2.32
PRV55005,130,3,4.49,42.3,No,2.31
PRV57709,217,5,3.42,39.66,Yes,2.3
PRV51252,87,2,3.31,28.6,No,2.3
PRV55210,174,4,3.2,28.29,No,2.3
PRV54854,131,3,2.99,34.33,No,2.29
PRV52061,131,3,2.85,20.39,No,2.29
PRV52135,263,6,4.24,36.47,Yes,2.28
PRV56012,44,1,3.83,17.85,Yes,2.27
PRV55193,44,1,3.62,31.97,Yes,2.27
PRV56173,44,1,3.46,21.4,No,2.27
PRV53277,44,1,3.4,20.32,Yes,2.27
PRV52179,44,1,3.31,25.27,No,2.27
PRV56777,44,1,3.29,30.98,No,2.27
PRV56809,44,1,3.14,32.76,No,2.27
PRV54396,44,1,2.97,30.2,No,2.27
PRV57253,44,1,2.72,24.2,No,2.27
PRV51293,88,2,2.63,22.68,No,2.27
PRV54206,44,1,2.5,21.55,No,2.27
PRV52436,44,1,2.49,15.54,No,2.27
PRV55445,133,3,2.79,22.96,No,2.26
PRV55248,133,3,2.72,36.12,No,2.26
PRV55864,89,2,2.73,16.12,No,2.25
PRV52314,223,5,3.25,34.86,No,2.24
PRV52483,223,5,2.99,27.69,No,2.24
PRV54955,314,7,4.08,33.62,Yes,2.23
PRV53793,45,1,3.75,28.35,No,2.22
PRV55837,45,1,3.18,19.16,No,2.22
PRV56054,45,1,3.18,35.31,No,2.22
PRV56013,90,2,3.08,19.41,No,2.22
PRV55252,45,1,3.01,34.34,No,2.22
PRV54591,45,1,2.9,28.92,No,2.22
PRV51201,45,1,2.62,21.81,No,2.22
PRV52341,135,3,2.59,33.29,No,2.22
PRV52178,136,3,5.05,28.39,Yes,2.21
PRV52027,181,4,3.47,30.05,No,2.21
PRV57230,181,4,3.26,26.56,Yes,2.21
PRV52723,181,4,3.1,33.39,No,2.21
PRV51946,91,2,3.36,22.41,No,2.2
PRV52393,91,2,3.18,20.11,No,2.2
PRV56621,91,2,3.08,34.07,No,2.2
PRV55022,137,3,3.85,35.03,Yes,2.19
PRV51673,183,4,2.66,34.04,No,2.19
PRV52847,92,2,4.35,35.66,Yes,2.17
PRV53265,92,2,3.77,38.83,Yes,2.17
PRV56456,46,1,3.73,16.03,No,2.17
PRV51606,46,1,3.7,33.2,No,2.17
PRV57404,46,1,3.6,23.22,No,2.17
PRV54657,46,1,3.22,16.39,No,2.17
PRV56796,92,2,3.2,54.92,No,2.17
PRV51676,138,3,3.01,22.62,No,2.17
PRV56593,46,1,2.96,15.46,No,2.17
PRV53446,46,1,2.9,20.43,No,2.17
PRV53878,46,1,2.87,20.28,No,2.17
PRV54471,46,1,2.38,18.68,No,2.17
PRV52057,185,4,2.87,21.75,No,2.16
PRV54561,186,4,3.68,30.12,No,2.15
PRV51544,233,5,3.43,31.69,No,2.15
PRV54970,233,5,3.26,33.44,No,2.15
PRV57288,93,2,2.74,29.53,No,2.15
PRV56271,93,2,2.55,32.85,No,2.15
PRV54926,47,1,4.02,30.76,No,2.13
PRV51604,329,7,3.53,37.39,Yes,2.13
PRV53775,47,1,3.35,33.77,No,2.13
PRV53740,47,1,3.01,26.6,No,2.13
PRV53408,47,1,2.99,47.85,No,2.13
PRV52074,141,3,2.95,18.08,No,2.13
PRV57423,47,1,2.89,25.37,No,2.13
PRV56626,94,2,2.8,18.78,No,2.13
PRV56397,47,1,2.6,34.57,No,2.13
PRV52214,47,1,2.52,24.59,No,2.13
PRV53618,236,5,2.94,38.02,No,2.12
PRV51119,95,2,5.25,34.12,Yes,2.11
PRV55832,284,6,3.37,37.44,No,2.11
PRV54758,95,2,3.21,33.56,No,2.11
PRV52896,142,3,3.04,53.67,No,2.11
PRV54231,190,4,2.86,34.99,No,2.11
PRV52821,713,15,3.26,37.83,Yes,2.1
PRV56591,143,3,2.89,33.55,Yes,2.1
PRV51868,144,3,4.75,37.55,Yes,2.08
PRV51515,48,1,3.64,32.64,No,2.08
PRV56703,48,1,3.6,16.2,No,2.08
PRV53910,96,2,3.57,25.03,No,2.08
PRV57120,48,1,3.37,15.65,No,2.08
PRV51873,144,3,3.16,30.15,Yes,2.08
PRV51012,48,1,3.07,51.19,No,2.08
PRV55267,144,3,3.07,18.11,No,2.08
PRV53108,48,1,3.0,16.87,No,2.08
PRV51129,96,2,2.98,17.7,No,2.08
PRV54340,96,2,2.89,33.53,No,2.08
PRV56972,48,1,2.88,17.89,No,2.08
PRV54121,48,1,2.53,26.85,No,2.08
PRV53352,288,6,2.52,26.07,No,2.08
PRV55268,48,1,2.27,17.36,No,2.08
PRV57432,48,1,2.24,15.88,No,2.08
PRV55165,241,5,3.17,31.67,Yes,2.07
PRV52089,145,3,3.1,35.82,Yes,2.07
PRV57347,145,3,2.9,26.37,No,2.07
PRV53816,194,4,2.65,16.62,No,2.06
PRV53964,146,3,3.34,31.25,No,2.05
PRV55534,146,3,3.0,43.32,No,2.05
PRV53889,195,4,2.8,19.08,No,2.05
PRV51431,49,1,4.13,16.22,No,2.04
PRV54968,49,1,3.56,17.23,No,2.04
PRV54642,49,1,3.2,34.15,No,2.04
PRV52247,49,1,2.85,20.48,No,2.04
PRV53779,49,1,2.77,17.5,No,2.04
PRV56036,49,1,2.68,19.29,No,2.04
PRV51405,49,1,2.59,16.56,No,2.04
PRV51149,148,3,4.04,44.39,Yes,2.03
PRV55049,148,3,3.89,33.66,Yes,2.03
PRV55514,295,6,2.88,23.26,Yes,2.03
PRV53990,99,2,3.02,16.75,No,2.02
PRV56049,149,3,2.64,17.1,No,2.01
PRV52459,50,1,5.58,30.15,No,2.0
PRV55490,50,1,3.94,71.89,No,2.0
PRV52720,50,1,3.29,16.29,No,2.0
PRV51081,200,4,3.11,39.15,No,2.0
PRV52588,50,1,3.11,22.52,No,2.0
PRV52166,100,2,2.9,34.42,No,2.0
PRV51596,50,1,2.81,20.49,No,2.0
PRV54891,50,1,2.64,17.13,No,2.0
PRV54362,50,1,2.63,16.13,No,2.0
PRV52039,50,1,1.99,15.67,No,2.0
PRV51924,50,1,1.97,16.76,No,2.0
PRV57532,351,7,3.07,33.13,No,1.99
PRV56500,151,3,2.52,30.09,No,1.99
PRV56478,152,3,3.75,30.27,No,1.97
PRV57031,152,3,2.92,38.86,No,1.97
PRV57534,152,3,2.89,35.98,No,1.97
PRV55495,51,1,3.96,17.56,Yes,1.96
PRV56347,51,1,3.49,22.34,No,1.96
PRV51415,51,1,3.36,15.72,No,1.96
PRV56255,102,2,3.25,32.94,No,1.96
PRV55059,153,3,3.18,30.36,No,1.96
PRV54203,51,1,3.13,15.99,No,1.96
PRV51434,102,2,3.06,23.83,Yes,1.96
PRV51304,51,1,2.91,34.7,No,1.96
PRV56182,51,1,2.91,30.79,No,1.96
PRV54953,102,2,2.84,23.54,No,1.96
PRV54323,51,1,2.74,15.67,Yes,1.96
PRV51541,51,1,2.73,19.44,No,1.96
PRV53533,51,1,2.7,19.74,No,1.96
PRV55029,255,5,2.65,28.32,No,1.96
PRV55230,565,11,3.85,100.0,Yes,1.95
PRV55185,206,4,2.88,18.55,No,1.94
PRV57218,413,8,2.72,18.48,No,1.94
PRV56253,311,6,3.11,29.37,Yes,1.93
PRV51342,207,4,2.91,33.28,No,1.93
PRV53008,52,1,4.82,17.59,Yes,1.92
PRV54931,52,1,4.47,19.17,Yes,1.92
PRV52119,52,1,3.32,25.88,Yes,1.92
PRV51837,104,2,3.11,35.5,No,1.92
PRV55780,52,1,2.7,28.16,No,1.92
PRV57183,52,1,2.57,29.83,No,1.92
PRV57443,52,1,2.34,17.09,No,1.92
PRV56350,158,3,3.81,30.81,Yes,1.9
PRV55194,421,8,3.77,44.54,Yes,1.9
PRV53807,158,3,3.36,28.05,No,1.9
PRV52357,105,2,3.11,18.7,No,1.9
PRV57101,263,5,3.0,21.84,No,1.9
PRV57006,105,2,2.72,25.11,No,1.9
PRV53819,53,1,3.31,15.88,No,1.89
PRV53708,53,1,3.27,30.52,No,1.89
PRV53814,53,1,3.26,24.88,No,1.89
PRV55927,212,4,2.97,30.06,No,1.89
PRV55566,53,1,2.95,15.56,No,1.89
PRV53933,265,5,2.94,26.66,No,1.89
PRV54855,212,4,2.93,18.52,No,1.89
PRV53057,53,1,2.91,15.68,No,1.89
PRV51027,53,1,2.89,26.55,No,1.89
PRV55437,106,2,2.88,22.33,Yes,1.89
PRV54977,53,1,2.74,33.65,No,1.89
PRV51072,212,4,2.72,27.11,No,1.89
PRV57112,160,3,3.19,29.84,No,1.88
PRV55843,213,4,2.78,21.7,No,1.88
PRV54965,107,2,3.25,22.7,No,1.87
PRV51378,161,3,3.87,24.43,Yes,1.86
PRV53769,377,7,3.42,53.43,Yes,1.86
PRV53443,215,4,2.88,46.71,No,1.86
PRV53951,54,1,3.92,20.0,Yes,1.85
PRV56730,54,1,3.91,17.72,Yes,1.85
PRV56375,54,1,2.81,30.35,No,1.85
PRV52423,54,1,2.7,18.5,No,1.85
PRV52403,216,4,2.61,30.91,No,1.85
PRV52584,54,1,2.51,15.86,No,1.85
PRV55236,54,1,2.51,18.55,No,1.85
PRV51963,54,1,2.41,36.81,No,1.85
PRV52342,218,4,3.24,46.38,No,1.83
PRV52298,218,4,2.86,21.21,No,1.83
PRV54335,219,4,2.85,18.75,No,1.83
PRV56445,55,1,4.78,17.38,No,1.82
PRV51390,275,5,3.81,46.24,Yes,1.82
PRV52552,55,1,3.75,38.45,No,1.82
PRV53922,55,1,3.74,35.75,No,1.82
PRV55972,110,2,3.45,22.28,No,1.82
PRV52478,55,1,3.39,26.98,No,1.82
PRV54976,55,1,3.33,29.17,No,1.82
PRV56452,110,2,3.23,24.75,No,1.82
PRV56584,55,1,3.01,44.36,No,1.82
PRV53253,110,2,2.8,16.23,No,1.82
PRV53605,55,1,2.6,31.37,No,1.82
PRV57390,55,1,2.53,18.64,No,1.82
PRV51685,55,1,2.5,16.66,No,1.82
PRV51540,55,1,2.47,15.88,No,1.82
PRV54341,55,1,2.43,17.97,No,1.82
PRV51870,55,1,2.35,16.38,No,1.82
PRV55933,498,9,2.97,29.38,No,1.81
PRV53142,111,2,3.58,17.16,Yes,1.8
PRV51929,111,2,2.89,28.11,No,1.8
PRV54289,56,1,3.59,15.94,No,1.79
PRV52021,613,11,3.49,64.7,Yes,1.79
PRV55870,56,1,3.38,15.68,No,1.79
PRV52419,112,2,3.31,37.95,No,1.79
PRV53774,224,4,3.17,35.04,No,1.79
PRV51279,224,4,2.94,31.81,No,1.79
PRV55011,56,1,2.77,17.01,No,1.79
PRV55028,223,4,2.76,21.75,No,1.79
PRV55410,56,1,2.7,16.08,No,1.79
PRV56702,224,4,2.65,19.5,No,1.79
PRV51189,56,1,2.54,19.77,No,1.79
PRV54402,56,1,2.52,15.86,No,1.79
PRV53757,56,1,2.45,16.36,No,1.79
PRV57177,564,10,3.15,41.75,Yes,1.77
PRV51693,113,2,2.48,18.73,No,1.77
PRV52898,114,2,3.66,24.09,No,1.75
PRV51857,57,1,3.54,20.22,Yes,1.75
PRV55978,401,7,3.29,34.39,No,1.75
PRV53248,57,1,3.28,47.08,No,1.75
PRV55296,57,1,3.26,19.18,No,1.75
PRV55260,57,1,3.15,15.53,No,1.75
PRV54567,57,1,3.06,15.78,No,1.75
PRV55585,114,2,3.04,18.63,No,1.75
PRV56800,57,1,2.94,19.2,No,1.75
PRV51967,57,1,2.9,16.12,No,1.75
PRV55941,57,1,2.88,34.95,No,1.75
PRV51366,57,1,2.68,37.35,No,1.75
PRV51089,228,4,2.67,22.36,No,1.75
PRV55866,115,2,2.61,15.88,No,1.74
PRV54367,636,11,4.02,43.04,Yes,1.73
PRV56748,463,8,3.48,33.3,Yes,1.73
PRV54244,231,4,3.38,26.51,No,1.73
PRV56685,405,7,2.86,30.53,Yes,1.73
PRV51067,58,1,3.69,32.59,Yes,1.72
PRV51274,58,1,3.45,15.98,No,1.72
PRV51151,233,4,3.1,36.59,No,1.72
PRV57124,58,1,3.02,16.77,No,1.72
PRV57491,116,2,2.99,18.66,No,1.72
PRV51011,58,1,2.94,15.71,No,1.72
PRV52422,58,1,2.86,28.72,No,1.72
PRV53251,233,4,2.86,19.06,No,1.72
PRV52432,58,1,2.39,16.47,No,1.72
PRV56348,58,1,2.27,16.6,No,1.72
PRV52307,175,3,3.28,22.8,Yes,1.71
PRV57324,117,2,3.09,31.24,No,1.71
PRV56760,643,11,3.06,36.09,No,1.71
PRV55237,117,2,2.91,35.45,No,1.71
PRV54237,234,4,2.63,30.21,No,1.71
PRV56556,880,15,3.0,34.93,No,1.7
PRV56225,588,10,2.97,27.78,Yes,1.7
PRV57228,529,9,2.95,32.84,No,1.7
PRV52989,177,3,3.72,30.07,Yes,1.69
PRV52688,59,1,3.56,38.11,No,1.69
PRV51387,59,1,3.52,18.66,No,1.69
PRV51171,59,1,3.34,24.37,No,1.69
PRV52142,59,1,3.21,30.96,No,1.69
PRV51404,59,1,3.19,18.14,No,1.69
PRV51851,472,8,2.92,52.14,Yes,1.69
PRV51277,59,1,2.82,18.83,No,1.69
PRV55921,59,1,2.72,19.18,No,1.69
PRV53756,59,1,2.7,21.5,No,1.69
PRV54078,119,2,3.44,25.29,No,1.68
PRV52617,238,4,3.11,48.87,No,1.68
PRV55934,653,11,3.02,39.24,Yes,1.68
PRV57412,298,5,2.74,36.96,No,1.68
PRV53892,119,2,2.62,30.71,No,1.68
PRV55043,119,2,2.55,19.24,No,1.68
PRV51436,120,2,3.61,49.84,No,1.67
PRV54832,60,1,3.19,15.5,Yes,1.67
PRV54537,60,1,3.14,16.4,No,1.67
PRV55852,60,1,2.93,15.66,Yes,1.67
PRV56978,120,2,2.66,16.35,No,1.67
PRV56405,60,1,2.64,26.13,No,1.67
PRV52879,120,2,2.51,17.65,No,1.67
PRV52713,60,1,2.46,18.51,No,1.67
PRV53526,60,1,2.4,15.6,No,1.67
PRV52439,121,2,2.88,19.76,No,1.65
PRV56647,183,3,4.54,38.41,Yes,1.64
PRV51876,61,1,4.4,16.3,Yes,1.64
PRV52331,61,1,4.03,45.13,No,1.64
PRV55442,61,1,3.79,29.25,No,1.64
PRV51418,61,1,3.61,34.59,No,1.64
PRV51550,61,1,3.5,26.19,No,1.64
PRV57310,122,2,3.43,26.28,Yes,1.64
PRV53934,122,2,2.97,30.41,No,1.64
PRV51140,487,8,2.86,30.36,No,1.64
PRV53149,61,1,2.7,15.87,No,1.64
PRV55842,122,2,2.61,22.66,Yes,1.64
PRV53880,61,1,2.42,21.21,No,1.64
PRV53694,61,1,2.24,15.65,No,1.64
PRV52511,246,4,3.16,23.91,Yes,1.63
PRV51271,123,2,2.78,25.38,No,1.63
PRV55847,185,3,3.16,34.26,No,1.62
PRV55715,864,14,3.02,68.7,Yes,1.62
PRV57481,62,1,4.84,17.12,Yes,1.61
PRV52180,62,1,3.99,39.57,No,1.61
PRV54972,62,1,3.55,18.18,No,1.61
PRV57601,62,1,3.38,55.54,No,1.61
PRV54111,249,4,3.35,28.58,Yes,1.61
PRV55363,62,1,3.24,35.95,No,1.61
PRV52630,434,7,3.16,30.97,Yes,1.61
PRV56811,62,1,3.12,21.15,No,1.61
PRV53768,62,1,3.05,16.72,No,1.61
PRV51260,62,1,3.01,46.35,No,1.61
PRV57217,62,1,2.97,28.86,No,1.61
PRV54739,186,3,2.96,24.44,Yes,1.61
PRV55839,186,3,2.74,22.78,No,1.61
PRV55701,186,3,2.54,24.22,No,1.61
PRV56191,62,1,2.37,19.02,No,1.61
PRV52738,62,1,2.3,18.82,No,1.61
PRV52869,62,1,2.28,18.7,No,1.61
PRV52002,188,3,2.86,33.93,Yes,1.6
PRV56711,63,1,3.64,17.94,Yes,1.59
PRV55914,63,1,3.57,25.86,Yes,1.59
PRV52406,63,1,3.55,43.57,No,1.59
PRV51697,63,1,3.46,28.81,No,1.59
PRV54230,126,2,3.43,29.96,Yes,1.59
PRV53405,189,3,3.15,32.92,No,1.59
PRV55181,439,7,3.04,31.31,No,1.59
PRV52412,63,1,3.0,20.97,No,1.59
PRV54767,63,1,2.86,15.89,No,1.59
PRV53325,63,1,2.79,16.46,No,1.59
PRV56209,189,3,2.7,27.58,No,1.59
PRV53309,63,1,2.66,43.1,No,1.59
PRV52491,63,1,2.65,15.93,No,1.59
PRV54588,63,1,2.13,16.13,No,1.59
PRV57117,190,3,3.8,24.93,Yes,1.58
PRV55705,253,4,2.59,20.3,No,1.58
PRV55916,127,2,4.65,17.5,No,1.57
PRV51386,382,6,2.81,50.57,No,1.57
PRV56597,191,3,2.68,18.29,No,1.57
PRV51690,255,4,2.65,29.11,No,1.57
PRV57034,64,1,4.35,52.82,No,1.56
PRV52123,256,4,4.23,35.35,Yes,1.56
PRV52073,64,1,3.99,37.59,No,1.56
PRV55243,257,4,3.09,46.22,No,1.56
PRV55822,384,6,3.05,36.41,No,1.56
PRV55768,64,1,3.01,26.07,No,1.56
PRV53620,128,2,2.99,22.41,No,1.56
PRV53232,64,1,2.85,15.72,No,1.56
PRV54596,64,1,2.82,16.12,No,1.56
PRV51652,64,1,2.67,15.6,No,1.56
PRV54098,256,4,2.64,25.89,Yes,1.56
PRV57501,64,1,2.34,18.87,No,1.56
PRV53961,129,2,3.77,19.35,Yes,1.55
PRV54381,129,2,2.89,18.51,No,1.55
PRV54942,130,2,3.81,26.69,Yes,1.54
PRV53120,65,1,3.27,19.1,No,1.54
PRV54041,65,1,3.19,21.1,No,1.54
PRV53269,456,7,3.14,30.33,Yes,1.54
PRV51576,65,1,3.08,33.15,No,1.54
PRV54757,65,1,3.05,17.87,No,1.54
PRV51897,65,1,2.94,28.65,No,1.54
PRV51037,454,7,2.91,25.24,Yes,1.54
PRV56451,259,4,2.89,28.79,No,1.54
PRV54842,130,2,2.71,15.9,No,1.54
PRV55083,196,3,2.97,32.4,No,1.53
PRV53913,131,2,2.52,19.03,No,1.53
PRV56568,131,2,2.38,36.04,No,1.53
PRV53424,263,4,3.45,27.62,No,1.52
PRV53633,66,1,3.12,32.75,No,1.52
PRV53295,197,3,3.08,51.4,Yes,1.52
PRV53985,197,3,3.04,29.05,Yes,1.52
PRV51003,132,2,3.0,20.15,Yes,1.52
PRV52919,66,1,2.84,18.05,No,1.52
PRV56504,66,1,2.83,27.81,No,1.52
PRV56237,198,3,2.77,21.86,No,1.52
PRV56525,66,1,2.64,35.91,No,1.52
PRV56901,66,1,2.64,17.36,No,1.52
PRV52640,66,1,2.05,19.97,No,1.52
PRV51678,66,1,2.02,15.7,No,1.52
PRV53002,397,6,2.88,20.44,No,1.51
PRV53776,200,3,3.5,27.93,Yes,1.5
PRV51346,266,4,3.01,36.15,No,1.5
PRV57152,400,6,2.98,29.81,No,1.5
PRV54563,267,4,2.83,21.43,No,1.5
PRV52100,201,3,4.17,26.1,Yes,1.49
PRV56719,67,1,3.52,16.17,Yes,1.49
PRV51276,67,1,3.42,20.44,No,1.49
PRV51661,134,2,3.36,33.05,No,1.49
PRV56789,67,1,3.2,20.39,No,1.49
PRV52334,67,1,3.07,32.06,No,1.49
PRV54506,134,2,2.95,48.74,No,1.49
PRV53260,134,2,2.89,32.5,No,1.49
PRV54168,67,1,2.88,28.96,No,1.49
PRV55168,134,2,2.83,25.28,No,1.49
PRV56028,201,3,2.82,18.11,No,1.49
PRV56764,201,3,2.77,18.55,No,1.49
PRV53993,201,3,2.48,33.37,No,1.49
PRV51456,135,2,4.21,35.16,No,1.48
PRV52019,1961,29,3.36,87.83,Yes,1.48
PRV53613,135,2,2.89,18.82,No,1.48
PRV55731,135,2,2.82,17.2,No,1.48
PRV54644,68,1,3.37,32.05,Yes,1.47
PRV52276,68,1,3.25,17.04,No,1.47
PRV56408,68,1,3.21,21.3,No,1.47
PRV54442,68,1,3.17,17.51,No,1.47
PRV52058,204,3,2.98,43.98,No,1.47
PRV56560,2313,34,2.98,39.06,Yes,1.47
PRV52185,68,1,2.88,16.6,No,1.47
PRV55727,68,1,2.22,17.18,No,1.47
PRV56866,68,1,2.06,19.63,No,1.47
PRV56634,206,3,2.85,24.4,No,1.46
PRV55521,615,9,2.83,37.38,No,1.46
PRV54562,206,3,2.81,37.94,No,1.46
PRV56216,481,7,2.68,38.33,No,1.46
PRV55505,480,7,2.55,28.47,No,1.46
PRV56156,69,1,3.47,16.07,No,1.45
PRV53385,1037,15,3.09,72.7,Yes,1.45
PRV55902,69,1,3.09,34.43,No,1.45
PRV54539,69,1,2.97,16.71,No,1.45
PRV53256,345,5,2.85,34.69,No,1.45
PRV52486,69,1,2.83,39.85,No,1.45
PRV53391,69,1,2.77,33.27,No,1.45
PRV56957,138,2,2.59,27.5,No,1.45
PRV56261,69,1,2.58,21.4,No,1.45
PRV55200,69,1,2.35,21.68,No,1.45
PRV52873,69,1,2.3,27.88,No,1.45
PRV51421,139,2,3.83,36.49,Yes,1.44
PRV57433,70,1,3.61,33.46,No,1.43
PRV52886,70,1,3.57,17.74,No,1.43
PRV56234,70,1,3.16,16.45,No,1.43
PRV56442,1330,19,2.98,59.12,Yes,1.43
PRV54083,279,4,2.91,37.11,No,1.43
PRV51393,910,13,2.9,30.86,Yes,1.43
PRV56594,70,1,2.8,15.69,No,1.43
PRV56479,140,2,2.67,30.81,No,1.43
PRV52575,70,1,2.52,15.79,No,1.43
PRV51399,211,3,3.45,17.16,Yes,1.42
PRV52420,141,2,3.44,47.65,Yes,1.42
PRV51038,141,2,3.41,19.1,No,1.42
PRV52401,141,2,2.64,16.1,No,1.42
PRV54716,141,2,2.64,18.84,No,1.42
PRV56659,141,2,2.23,38.89,No,1.42
PRV57409,71,1,3.65,29.32,Yes,1.41
PRV51491,71,1,3.62,41.54,No,1.41
PRV51341,71,1,3.22,15.86,No,1.41
